"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0400000890.mm.2";3,84331829179087;4,38353777620635;4,44645409052952;4,5930844268674;4,32432030198347;4,67617626558581;4,43551715621473;5,14078866421822;4,18254810702938;4,77305260734638;5,20458082453204
"TC0700004633.mm.2";6,55461465622204;6,09159660907259;5,87490021629516;5,9952689413778;6,18700804961195;6,70446705834073;6,72787150473451;6,38154493632398;7,25745029331956;7,6207680204506;6,45958742462577
"TC0700001488.mm.2";1,38507806011683;1,43718296251649;2,2560497411924;1,86730797719807;1,17461873764936;1,33427243204517;1,56657123487763;1,51537241922234;2,15032706427974;1,85019867303274;1,50761908026597
"TC1200002438.mm.2";7,19626958450984;7,08393266191871;7,68402408579412;7,06631602258674;7,89151007837188;7,72277355188172;6,80539487258557;7,40426473389093;7,94184945568779;8,17127254933706;8,22456730400357
"TC0500002785.mm.2";3,33362569111498;2,53811109374134;2,94952575205902;2,57267619802108;2,38164378412196;2,85785455016354;2,77744688315804;3,69861129068274;3,1748159546989;2,82273248857192;3,04668296852215
"TC1400002791.mm.2";4,31695054391652;4,44907170349049;4,41349812703359;4,4179654745629;4,56243873507609;4,28496501942074;4,37167042250562;3,69540247001829;4,05015096306166;3,38071150676367;3,84375364997893
"TC1400000034.mm.2";1,54978984152794;1,70931124507079;1,82309427867307;1,75466572460364;1,08589776504535;1,35612041281639;1,67249425965192;1,38979332830216;1,87159848798537;1,93249178411312;1,41462407117593
"TC1100002194.mm.2";2,53698369791563;2,1204013467021;2,20212315110726;2,51390288970824;2,6509458951841;1,80769461279537;2,69647586230803;1,93905022472613;2,16992529321308;1,87766114460292;1,91615503056537
"TC1000000770.mm.2";4,55488964006659;4,86156155027117;4,59245875523925;4,45970677777718;5,47048273225045;5,2741990724763;5,32303081749374;4,79757084600673;5,85876629939909;4,08137065511505;5,83368503095129
"TC1700002767.mm.2";3,56160494209847;3,12333794383668;3,12653121858985;3,77252900659255;3,85875080393498;3,6068588395031;3,39410881524162;3,19265334872656;4,08097021847267;3,1673109134495;3,66643081290337
"TC1100003720.mm.2";2,84157261025309;2,92756891434331;3,41004403677481;3,13000800988281;3,27353095991436;2,90600814937562;3,74336235941493;3,29837039995379;3,55433978034756;3,0565701394004;3,1677200889123
"TC1500001730.mm.2";8,0574625703726;9,01991175088354;8,86098304366387;8,08847712097345;9,21827984821209;9,353626058995;9,02400231402179;8,95906033523667;9,92513574950916;10,4313118783877;9,30111952719276
"TC0500003719.mm.2";2,89862043556962;2,46450056329022;3,4572664387744;2,86443932561549;2,35692143097396;2,07962181915999;3,23277936248337;3,02004489920061;3,16157241867709;2,59626683706613;2,56031054583591
"TC0500001789.mm.2";2,51380168491955;2,11259128323455;2,84575419549219;2,45633793138982;2,07198875702873;2,23679311586519;2,78003937379128;3,06628922687968;2,68571567397341;2,38624827568524;2,52792734587212
"TC0500002347.mm.2";6,1687701349587;5,75485298217162;5,46852037821077;5,41484880239008;4,98875130253151;5,54624342237142;6,09010860718553;5,53605414425445;5,18874009091947;4,97075178113966;5,05965743672987
"TC0100000949.mm.2";3,68258222439143;3,31118480213429;3,93417343889602;3,16025787091593;3,70461584280095;2,90644039298647;3,77307294373654;3,57218044719483;3,67747986418401;2,94468978531549;3,57218044719483
"TC0400003998.mm.2";6,21993885071723;6,49430512620034;6,10735229280906;6,16404814832198;5,93781291110684;6,60890237305275;5,69644998995502;5,74118136750892;5,75976617496332;6,50155291622809;6,09403645077585
"TC1400000496.mm.2";3,37299913536433;2,72842490968457;2,91668738055577;2,43025439134272;3,00516725797716;2,48432955840216;2,66847516279596;2,59397368572578;3,03326033625361;3,2239845211678;2,69403197265195
"TC0800000222.mm.2";1,91431440084076;1,94790393491211;2,57189363721235;2,32730203517903;2,40765763988343;2,650158496395;2,81611579919638;2,2500016047924;1,95933582009384;2,2937428879273;2,61271734570165
"TC1400000007.mm.2";1,65505197344849;2,00069336870503;1,7059053403723;1,4496761686642;1,2542432107844;1,52909179045006;1,52829840062314;1,86118039286877;1,64227349970466;2,12512032883913;2,13392188388308
"TC1300002161.mm.2";2,96400510873402;3,18347143286568;2,44355861374373;2,81862691408364;2,85964459110417;3,14868499389859;1,88323594085419;2,19249351368394;2,52110670951729;3,28431430900879;2,69222533401969
"TC1400002862.mm.2";2,22254837072059;1,97253909924714;2,328028402594;1,89582387283928;2,89290105862159;1,93438833556523;2,55629502430692;2,81115479969363;2,12481349428937;1,8364933978512;2,43382294319285
"TC1800001186.mm.2";4,25156216445532;4,59764204025207;4,48746578795355;4,13539927649105;4,59553339652207;4,12760503098408;4,18599895531452;4,63121307408482;4,48960297180736;4,67848773222578;4,74062753279253
"TC0500001028.mm.2";6,48431831048936;6,42858642243457;6,53342441287413;6,30504819432274;6,1769643805189;6,47648178252309;5,92785790174894;6,19682813460678;5,38546034281334;6,04131357377558;6,15248680723791
"TC0Y00000487.mm.2";2,28883730605923;2,06569941042084;2,01282558218518;2,43472739400289;2,40138221059751;2,43286968392258;1,70302973233632;1,88363286296903;2,11231856416709;1,73164899492445;1,85305769379309
"TC0300000822.mm.2";5,38153924634287;4,6040749218387;3,24954673746293;6,72774625924699;7,14247181905042;2,12438153341025;3,43945014582585;3,97611022625226;5,10203849276275;3,58925480034955;3,83409086384491
"TC0700002231.mm.2";3,49357107088457;2,98161661981615;3,62799133688435;3,39452052594083;3,47603941080752;3,12920700906226;3,8373847064672;3,17958273351509;3,13221584563274;3,12614501258592;3,09114925494135
"TC0200004148.mm.2";6,16320055906061;5,79186130148628;6,02497612594032;6,37808229916789;6,17513733598131;6,28012951383451;4,35160808738216;5,93819285873194;6,02128672331199;5,7144364828308;6,34382950304144
"TC0700002262.mm.2";1,79277399312386;1,91472909261704;2,139117360472;2,48524739422984;2,25374935889229;2,11751396186387;2,19364183873513;2,53805456823802;2,56458890019925;2,56404139726229;2,01943190894906
